0x1f615	ಏನು,
0x1f1ec,0x1f1ea	ಜಾರ್ಜಿಯ,
0x1f1ec,0x1f1ec	ಗುರ್ನ್ಸಿ,
0x1f1ec,0x1f1ed	ಘಾನಾ,
0x1f1ec,0x1f1f1	ಗ್ರೀನ್ಲ್ಯಾಂಡ್,
0x1f1ec,0x1f1f7	ಗ್ರೀಸ್,
0x1f1ec,0x1f1f9	ಗ್ವಾಟೆಮಾಲ,
0x1f1ec,0x1f1fe	ಗಯಾನ,
0x1f1ed,0x1f1f3	ಹೊಂಡುರಾಸ್,
0x1f1ed,0x1f1f7	ಕ್ರೊಯೆಶಿಯ,
0x1f1ee,0x1f1e9	ಇಂಡೋನೇಷ್ಯಾ,
0x1f1ee,0x1f1ea	ಐರ್ಲೆಂಡ್,
0x1f1ee,0x1f1f1	ಇಸ್ರೇಲ್,
0x1f1ee,0x1f1f3	ಭಾರತ,
0x1f1ee,0x1f1f6	ಇರಾಕ್,
0x1f1ee,0x1f1f7	ಇರಾನ್,
0x1f1ee,0x1f1f8	ಐಸ್ಲ್ಯಾಂಡ್,
0x1f1ee,0x1f1f9	ಇಟಲಿ,
0x1f1ef,0x1f1ea	ಜರ್ಸಿ,
0x1f1ef,0x1f1f5	ಜಪಾನ್,
0x1f1f0,0x1f1ea	ಕೀನ್ಯಾ,
0x1f1f0,0x1f1ec	ಕಿರ್ಗಿಸ್ಥಾನ್,
0x1f1f0,0x1f1ed	ಕಾಂಬೋಡಿಯ,
0x1f1f0,0x1f1ee	ಕಿರಿಬಾಟಿ,
0x1f1f0,0x1f1f2	ಕೊಮೊರೊಸ್,
0x1f1f0,0x1f1f7	ಕೊರಿಯಾ,
0x1f1f0,0x1f1fc	ಕುವೈತ್,
0x1f1f0,0x1f1ff	ಕಜಾಕಸ್ಥಾನ್,
0x1f1f1,0x1f1e6	ಲಾವೋಸ್,
0x1f1f1,0x1f1f7	ಲೈಬೀರಿಯ,
0x1f1f1,0x1f1f8	ಲೆಸೊಥೊ,
0x1f1f1,0x1f1fe	ಲಿಬಿಯಾ,
0x1f1f2,0x1f1e6	ಮೊರಾಕೊ,
0x1f1f2,0x1f1e8	ಮೊನಾಕೊ,
0x1f1f2,0x1f1e9	ಮಾಲ್ಡೋವ,
0x1f1f2,0x1f1ea	ಮಾಂಟೆನೆಗ್ರೊ,
0x1f1f2,0x1f1ec	ಮಡಗಾಸ್ಕರ್,
0x1f1f2,0x1f1f1	ಮಾಲಿ,
0x1f1f2,0x1f1f2	ಬರ್ಮ,ಬರ್ಮ,
0x1f1f2,0x1f1f3	ಮಂಗೋಲಿಯ,
0x1f1f2,0x1f1f4	ಮಕಾವು,
0x1f1f2,0x1f1f7	ಮಾರಿಟಾನಿಯ,
0x1f1f2,0x1f1fa	ಮಾರಿಷಸ್,
0x1f1f2,0x1f1fc	ಮಲಾವಿ,
0x1f1f2,0x1f1fd	ಮೆಕ್ಸಿಕೋ,
0x1f1f2,0x1f1fe	ಮಲೇಶಿಯ,
0x1f1f2,0x1f1ff	ಮೊಜಾಂಬಿಕ್,
0x1f1f3,0x1f1e6	ನಮೀಬಿಯ,
0x1f1f3,0x1f1ec	ನೈಜೀರಿಯ,
0x1f1f3,0x1f1f1	ನೆದರ್ಲ್ಯಾಂಡ್ಸ್,ಹಾಲೆಂಡ್,
0x1f1f3,0x1f1f4	ನಾರ್ವೇ,
0x1f1f3,0x1f1f5	ನೇಪಾಳ,
0x1f1f4,0x1f1f2	ಒಮಾನ್,
0x1f1f5,0x1f1e6	ಪನಾಮಾ,
0x1f1f5,0x1f1ea	ಪೆರು,
0x1f1f5,0x1f1ed	ಫಿಲಿಪ್ಪೀನ್ಸ್,
0x1f1f5,0x1f1f0	ಪಾಕಿಸ್ತಾನ,
0x1f1f5,0x1f1f1	ಪೋಲೆಂಡ್,
0x1f1f5,0x1f1f9	ಪೋರ್ಚುಗಲ್,
0x1f1f5,0x1f1fe	ಪೆರಗ್ವೆ,
0x1f1f6,0x1f1e6	ಕಟಾರ್,
0x1f1f7,0x1f1f4	ರೊಮಾನಿಯ,
0x1f1f7,0x1f1fa	ರಷ್ಯಾ,
0x1f1f7,0x1f1fc	ರ್ವಾಂಡ,
0x1f1f8,0x1f1e8	ಸೆಶೆಲ್ಸ್,
0x1f1f8,0x1f1e9	ಸುಡಾನ್,
0x1f1f8,0x1f1ea	ಸ್ವೀಡನ್,
0x1f1f8,0x1f1ec	ಸಿಂಗಾಪುರ,
0x1f1f8,0x1f1f3	ಸೆನೆಗಲ್,
0x1f1f8,0x1f1f4	ಸೊಮಾಲಿಯ,
0x1f1f8,0x1f1f7	ಸುರಿನಾಮ್,ಸುರಿನಾಮ್,
0x1f1f8,0x1f1fe	ಸಿರಿಯಾ,
0x1f1f8,0x1f1ff	ಸ್ವಾಜಿಲ್ಯಾಂಡ್,
0x1f1f9,0x1f1e9	ಚಾಡ್,
0x1f1f9,0x1f1ec	ಟೊಗೊ,
0x1f1f9,0x1f1ed	ಥೈಲ್ಯಾಂಡ್,
0x1f1f9,0x1f1ef	ತಜಿಕಿಸ್ತಾನ್,
0x1f1f9,0x1f1f2	ತುರ್ಕ್ಮೇನಿಸ್ತಾನ್,
0x1f1f9,0x1f1f3	ಟುನೀಶಿಯ,
0x1f1f9,0x1f1fb	ತುವಾಲು,
0x1f1f9,0x1f1fc	ತೈವಾನ್,
0x1f1f9,0x1f1ff	ಟಾಂಜಾನಿಯ,
0x1f1fa,0x1f1e6	ಯುಕ್ರೇನ್,
0x1f1fa,0x1f1ec	ಉಗಾಂಡ,
0x1f1fa,0x1f1f3	ಸಂಯುಕ್ತ ರಾಷ್ಟ್ರ ಸಂಸ್ಥೆ,
0x1f1fa,0x1f1fe	ಉರುಗ್ವೆ,
0x1f1fa,0x1f1ff	ಉಜ್ಬೇಕಿಸ್ಥಾನ್,
0x1f1fb,0x1f1ea	ವೆನೆಜುವೆಲಾ,
0x1f1fb,0x1f1f3	ವಿಯೆಟ್ನಾಮ್,
0x1f1fb,0x1f1fa	ವನುವಾಟು,
0x1f1fc,0x1f1f8	ಸಮೋಅ,
0x1f1fd,0x1f1f0	ಕೊಸೊವೊ,
0x1f1fe,0x1f1ea	ಯೆಮೆನ್,
0x1f1ff,0x1f1fc	ಜಿಂಬಾಬ್ವೆ,
