0x1f615	తడబడి,ఏమిటి,చిరచిర,
0x1f4d1	గుర్తు,
0x1f3f7	ఉల్లాకు,
0x1f4b3	పరపతి,
0x1f4b9	పట్టిక,రేఖాపటం,పెరుగుదల,బజారు,ధోరణి,
0x1f4b1	మార్చు,
0x2709	ఈ-మెయిల్,
0x1f4e8	ఇ-మెయిల్,కవచ,
0x1f4e9	కలుపుగోలు,పంపిన,
0x1f4e4	వెళ్లవలసిన సందేశాలు,ట్రే,
0x1f4e6	ముడి,
0x1f4eb	సందేశ పెట్టె,
0x1f5f3	ఓటు,
0x270f	పెన్సిలు,
0x2712	పాళీ,కలం,
0x1f4c1	ఆకురాయి,ఫోల్డర్,
0x1f4c6	కేలండర్,
0x1f5d2	ఒత్తు,
0x1f4cb	క్లిప్ బోర్డ్,
0x1f4cc	పిన్,
0x1f587	జోడించు,
0x1f4cf	పాలకుడు,
0x1f4d0	అస్తమించు,
0x1f5c4	అమాత్య వర్గం,
0x1f50f	సిరా,రహస్యం,
0x1f5dd	జాడ,
0x26cf	త్రవ్వకాలు(గనుల),
0x2692	సుత్తి,కోయు,
0x1f6e0	పానా,
0x1f3f9	ధనుస్సు,విలుకాడు,విలువిద్య,
0x1f529	పారిపో,
0x1f5dc	కుదించు,వైస్,
0x2697	రసాయన శాస్త్రం,
0x2696	తుల,
0x26d3	గొలుసు,
0x26b1	బూడిద,అంత్యక్రియలు,పాత్ర,
0x1f6e2	నూనె,
0x1f6d2	బండి,
0x1f3e7	చెప్పేవాడు,
0x1f6b0	తాగడం,తాగదగిన,
0x267f	ప్రవేశం,
0x1f6bc	మారటం,
0x1f6be	అర,
0x1f6c2	పాస్పోర్ట్,
0x1f6c3	ఆచారాలు,
0x1f6c4	సామాను,చెప్పుకో,
0x1f6c5	లాకర్,సామాను,
0x26a0	హెచ్చరిక,
0x1f6b8	పాప,దాటడం,పాదచారి,
0x1f51e	పద్దెనిమిది,
0x2b06	ఉత్తరం,
0x2197	ఈశాన్యం,
0x2198	ఆగ్నేయం,
0x2b07	దక్షిణం,
0x2199	నైఋతి,
0x2196	వాయవ్యం,
0x1f503	అనుఘడి,
0x1f504	అప్రదక్షిణ,
0x1f519	వెనుక,
0x1f51a	ముగించు,
0x1f51b	పై,
0x1f51c	వెంటనే,
0x1f6d0	ఆరాధించు,
0x269b	నాస్తికుడు,అణువు,
0x1f549	హిందువు,
0x2638	బౌద్ధ మతం వాడు,ధర్మము,
0x1f54e	కొవ్వొత్తి స్టాండు,
0x2648	పొట్టేలు,
0x2649	ఎద్దు,
0x264b	పీత,
0x264f	తేలు,
0x2651	మేక,
0x26ce	పాము,
0x1f501	రిపీట్,
0x1f502	ఒకసారి,
0x23e9	రెట్టింపు,అగ్ర,
0x23ef	నిలుపు,
0x25c0	తిప్పు,
0x23ea	వెనక్కి వెళ్లు,
0x23f8	నిలువు,
0x23fa	రికార్డు,
0x23cf	గెంటు,
0x1f505	మేధస్సు,మసక,చవక,
0x1f4f3	దారి,కంపనం,
0x2695	దండం,
0x1f531	ముద్ర,శూలం,
0x1f4db	గుర్తు,పేరు,
0x2797	విభాగము,
0x27b0	ఉచ్చు,
0x303d	భాగం,
0x2733	నక్షత్రం,
0x3030	వంపులు తిరిగిన,
0x00a9	ప్రచురణ హక్కు,
0x1f520	లాటిన్,లెటర్స్,పెద్దబడి,
0x1f521	లోవర్ కేస్,
0x1f522	సంఖ్యలు,
0x1f524	అక్షరమాల,
0x2139	నేను,
0x1f194	గుర్తించు,
0x1f19a	ప్రతిగా,
0x1f4a0	లోపల,
0x1f518	రేడియో,
0x1f1e6,0x1f1e9	అండొర్రా,
0x1f1e6,0x1f1eb	ఆఫ్ఘనిస్తాన్,
0x1f1e6,0x1f1f1	అల్బేనియా,
0x1f1e6,0x1f1f2	ఆర్మేనియా,
0x1f1e6,0x1f1f4	అంగోలా,
0x1f1e6,0x1f1f6	అంటార్కిటికా,
0x1f1e6,0x1f1f7	అర్జెంటీనా,
0x1f1e6,0x1f1f9	ఆస్ట్రియా,
0x1f1e6,0x1f1ff	అజర్బైజాన్,
0x1f1e7,0x1f1e7	బార్బడోస్,
0x1f1e7,0x1f1e9	బంగ్లాదేశ్,
0x1f1e7,0x1f1ea	బెల్జియం,
0x1f1e7,0x1f1ec	బల్గేరియా,
0x1f1e7,0x1f1ed	బహ్రయిన్,
0x1f1e7,0x1f1ee	బురుండి,
0x1f1e7,0x1f1ef	బెనిన్,
0x1f1e7,0x1f1f2	బెర్ముడా,
0x1f1e7,0x1f1f3	బ్రూనై,
0x1f1e7,0x1f1f4	బొలీవియా,
0x1f1e7,0x1f1f7	బ్రెజిల్,
0x1f1e7,0x1f1f8	బహామాస్,
0x1f1e7,0x1f1f9	భూటాన్,
0x1f1e7,0x1f1fc	బోత్సువానా,
0x1f1e7,0x1f1fe	బెలారస్,
0x1f1e7,0x1f1ff	బెలిజ్,
0x1f1e8,0x1f1e6	కెనడా,
0x1f1e8,0x1f1e9	కాంగో,
0x1f1e8,0x1f1ec	కాంగో రిపబ్లిక్,కాంగో,
0x1f1e8,0x1f1ed	స్విట్జర్లాండ్,
0x1f1e8,0x1f1f1	చిలీ,
0x1f1e8,0x1f1f2	కామెరూన్,
0x1f1e8,0x1f1f3	చైనా,
0x1f1e8,0x1f1f4	కొలంబియా,
0x1f1e8,0x1f1fa	క్యూబా,
0x1f1e8,0x1f1fe	సైప్రస్,
0x1f1e8,0x1f1ff	చెక్,
0x1f1e9,0x1f1ea	జర్మనీ,
0x1f1e9,0x1f1ef	జిబౌటి,
0x1f1e9,0x1f1f0	డెన్మార్క్,
0x1f1e9,0x1f1ff	అల్జీరియా,
0x1f1ea,0x1f1e8	ఈక్వడార్,
0x1f1ea,0x1f1ea	ఎస్టోనియా,
0x1f1ea,0x1f1ec	ఈజిప్టు,
0x1f1ea,0x1f1f8	స్పెయిన,
0x1f1ea,0x1f1f9	ఇథియోపియా,
0x1f1eb,0x1f1ee	ఫిన్లాండ్,
0x1f1eb,0x1f1ef	ఫిజీ,
0x1f1eb,0x1f1f7	ఫ్రాన్స్,
0x1f1ec,0x1f1e6	గబాన్,
0x1f1ec,0x1f1e7	బ్రిటన్,
0x1f1ec,0x1f1ea	జార్జియా,
0x1f1ec,0x1f1ed	ఘనా,
0x1f1ec,0x1f1f1	గ్రీన్లాండ్,
0x1f1ec,0x1f1f2	గాంబియా,
0x1f1ec,0x1f1f7	గ్రీసు,
0x1f1ec,0x1f1fe	గయానా,
0x1f1ed,0x1f1f3	హోండురాస్,
0x1f1ed,0x1f1f7	క్రొయేషియా,
0x1f1ed,0x1f1fa	హంగేరి,
0x1f1ee,0x1f1e9	ఇండోనేసియా,
0x1f1ee,0x1f1ea	ఐర్లాండ్,
0x1f1ee,0x1f1f1	ఇజ్రాయిల్,
0x1f1ee,0x1f1f3	భారతదేశం,
0x1f1ee,0x1f1f6	ఇరాక్,
0x1f1ee,0x1f1f7	ఇరాన్,
0x1f1ee,0x1f1f8	ఐస్లాండ్,
0x1f1ef,0x1f1ea	జెర్సీ,
0x1f1ef,0x1f1f2	జమైకా,
0x1f1ef,0x1f1f4	జోర్డాన్,
0x1f1ef,0x1f1f5	జపాన్,
0x1f1f0,0x1f1ea	కెన్యా,
0x1f1f0,0x1f1ec	కిర్గిజ్ స్తాన్,
0x1f1f0,0x1f1ed	కంబోడియా,
0x1f1f0,0x1f1f2	కొమొరోస్,
0x1f1f0,0x1f1f7	కొరియా,
0x1f1f0,0x1f1fc	కువైట్,
0x1f1f0,0x1f1ff	కజకస్తాన్,
0x1f1f1,0x1f1e6	లావోస్,
0x1f1f1,0x1f1e7	లెబనాన్,
0x1f1f1,0x1f1f9	లిథువేనియా,
0x1f1f1,0x1f1fb	లాట్వియా,
0x1f1f1,0x1f1fe	లిబియా,
0x1f1f2,0x1f1e6	మొరాకో,
0x1f1f2,0x1f1e9	మోల్డోవా,
0x1f1f2,0x1f1ec	మడగాస్కర్,
0x1f1f2,0x1f1f1	మాలి,
0x1f1f2,0x1f1f2	బర్మా,మయన్మార్,
0x1f1f2,0x1f1f3	మంగోలియా,
0x1f1f2,0x1f1f4	మాకా,మకావు,
0x1f1f2,0x1f1f7	మౌరిటానియ,
0x1f1f2,0x1f1f9	మాల్టా,
0x1f1f2,0x1f1fa	మారిషస్,
0x1f1f2,0x1f1fd	మెక్సికో,
0x1f1f2,0x1f1fe	మలేషియా,
0x1f1f3,0x1f1e6	నమీబియా,
0x1f1f3,0x1f1ea	నైజర్,
0x1f1f3,0x1f1ec	నైజీరియా,
0x1f1f3,0x1f1f1	నెదర్లాండ్,నెదర్లాండ్,
0x1f1f3,0x1f1f4	నార్వే,
0x1f1f3,0x1f1f5	నేపాల్,
0x1f1f4,0x1f1f2	ఒమన్,
0x1f1f5,0x1f1e6	పనామా,
0x1f1f5,0x1f1ea	పెరూ,
0x1f1f5,0x1f1ed	ఫిలిప్పీన్స్,
0x1f1f5,0x1f1f0	పాకిస్తాన్,
0x1f1f5,0x1f1f1	పోలాండ్,
0x1f1f5,0x1f1f9	పొర్చుగల్,
0x1f1f6,0x1f1e6	కతర్,
0x1f1f7,0x1f1f4	రొమేనియా,
0x1f1f7,0x1f1f8	సెర్బియా,
0x1f1f7,0x1f1fa	రష్యా,
0x1f1f7,0x1f1fc	రువాండా,
0x1f1f8,0x1f1e9	సూడాన్,
0x1f1f8,0x1f1ea	స్వీడన్,
0x1f1f8,0x1f1ec	సింగపూరు,
0x1f1f8,0x1f1ee	స్లోవేనియా,
0x1f1f8,0x1f1f3	సెనెగల్,
0x1f1f8,0x1f1f4	సొమాలియా,
0x1f1f8,0x1f1f7	సురినామ్,సూరీనామ్,
0x1f1f8,0x1f1fe	సిరియా,
0x1f1f9,0x1f1e9	చాద్,
0x1f1f9,0x1f1ec	టోగో,
0x1f1f9,0x1f1ed	థాయిలాండ్,
0x1f1f9,0x1f1ef	తజికిస్తాన్,
0x1f1f9,0x1f1f1	తూర్పు తైమూర్,
0x1f1f9,0x1f1f2	తుర్క్మెనిస్తాన్,
0x1f1f9,0x1f1f3	ట్యునీషియా,
0x1f1f9,0x1f1f4	టోంగా,
0x1f1f9,0x1f1fc	తైవాన్,
0x1f1f9,0x1f1ff	టాంజానియా,
0x1f1fa,0x1f1e6	ఉక్రెయిన్,
0x1f1fa,0x1f1ec	ఉగాండా,
0x1f1fa,0x1f1f3	ఐక్యరాజ్య సమితి,
0x1f1fa,0x1f1fe	ఉరుగ్వే,
0x1f1fa,0x1f1ff	ఉజ్బెకిస్తాన్,
0x1f1fb,0x1f1ea	వెనుజులా,
0x1f1fb,0x1f1f3	వియత్నాం,
0x1f1fe,0x1f1ea	యెమన్,
0x1f1ff,0x1f1f2	జాంబియా,
0x1f1ff,0x1f1fc	జింబాబ్వే,
