0x1f615	বিভ্রান্ত,কি,
0x1f1e7,0x1f1f3	ব্রুনাই,
0x1f1e7,0x1f1f4	বলিভিয়া,
0x1f1e7,0x1f1f7	ব্রাজিল,
0x1f1e7,0x1f1f8	বাহামা,
0x1f1e7,0x1f1f9	ভুটান,
0x1f1e7,0x1f1fc	বতসোয়ানা,
0x1f1e7,0x1f1fe	বেলারুশ,
0x1f1e7,0x1f1ff	বেলিজ,
0x1f1e8,0x1f1e6	কানাডা,
0x1f1e8,0x1f1e9	গণতান্ত্রিক কঙ্গো প্রজাতন,কঙ্গো,
0x1f1e8,0x1f1ec	কঙ্গো প্রজাতন্ত্র,কঙ্গো,
0x1f1e8,0x1f1ed	সুইজারল্যান্ড,সুইস,
0x1f1e8,0x1f1f1	চিলি,
0x1f1e8,0x1f1f2	ক্যামেরুন,
0x1f1e8,0x1f1f3	গণচীন,
0x1f1e8,0x1f1f4	কলম্বিয়া,
0x1f1e8,0x1f1fa	কিউবা,
0x1f1e8,0x1f1fe	সাইপ্রাস,
0x1f1e8,0x1f1ff	চেক প্রজাতন্ত্র,
0x1f1e9,0x1f1ef	জিবুতি,
0x1f1e9,0x1f1f0	ডেনমার্ক,
0x1f1e9,0x1f1f2	ডোমিনিকা,
0x1f1e9,0x1f1ff	আলজেরিয়া,
0x1f1ea,0x1f1e8	ইকুয়েডর,
0x1f1ea,0x1f1ea	ইস্তোনিয়া,
0x1f1ea,0x1f1ec	মিশর,
0x1f1ea,0x1f1f7	ইরিত্রিয়া,
0x1f1ea,0x1f1f8	স্পেন,
0x1f1ea,0x1f1f9	ইথিওপিয়া,
0x1f1ea,0x1f1fa	ইইউ,
0x1f1eb,0x1f1ee	ফিনল্যান্ড,
0x1f1eb,0x1f1ef	ফিজি,
0x1f1eb,0x1f1f2	মাইক্রোনেশিয়া,
0x1f1ec,0x1f1e6	গাবন,
0x1f1ec,0x1f1e7	যুক্তরাজ্য,ব্রিটেন,
0x1f1ec,0x1f1e9	গ্রানাডা,
0x1f1ec,0x1f1ea	জর্জিয়া,
0x1f1ec,0x1f1ed	ঘানা,
0x1f1ec,0x1f1ee	জিব্রাল্টার,
0x1f1ec,0x1f1f1	গ্রিনল্যান্ড,
0x1f1ec,0x1f1f2	গাম্বিয়া,
0x1f1ec,0x1f1f3	গিনি,
0x1f1ec,0x1f1f5	গুয়াদলুপ,
0x1f1ec,0x1f1f7	গ্রীস,
0x1f1ec,0x1f1f9	গুয়াতেমালা,
0x1f1ec,0x1f1fa	গুয়াম,
0x1f1ec,0x1f1fc	গিনি-বিসাউ,
0x1f1ec,0x1f1fe	গায়ানা,
0x1f1ed,0x1f1f3	হন্ডুরাস,
0x1f1ed,0x1f1f7	ক্রোয়েশিয়া,
0x1f1ed,0x1f1f9	হাইতি,
0x1f1ed,0x1f1fa	হাঙ্গেরি,
0x1f1ee,0x1f1e9	ইন্দোনেশিয়া,
0x1f1ee,0x1f1ea	আয়ারল্যান্ড,
0x1f1ee,0x1f1f1	ইসরায়েল,
0x1f1ee,0x1f1f2	মান,
0x1f1ee,0x1f1f3	ভারত,
0x1f1ee,0x1f1f6	ইরাক,
0x1f1ee,0x1f1f7	ইরান,পারস্য,
0x1f1ee,0x1f1f8	আইসল্যান্ড,
0x1f1ee,0x1f1f9	ইতালি,
0x1f1ef,0x1f1ea	জার্সি,
0x1f1ef,0x1f1f2	জামাইকা,
0x1f1ef,0x1f1f4	জর্দান,
0x1f1ef,0x1f1f5	জাপান,
0x1f1f0,0x1f1ea	কেনিয়া,
0x1f1f0,0x1f1ec	কিরগিজিস্তান,
0x1f1f0,0x1f1ed	কম্বোডিয়া,
0x1f1f0,0x1f1ee	কিরিবাস,
0x1f1f0,0x1f1f2	কোমোরোস,
0x1f1f0,0x1f1f7	কোরিয়া,
0x1f1f0,0x1f1fc	কুয়েত,
0x1f1f0,0x1f1ff	কাজাখস্তান,
0x1f1f1,0x1f1e6	লাওস,
0x1f1f1,0x1f1e7	লেবানন,
0x1f1f1,0x1f1ee	লিশ্টেনশ্টাইন,
0x1f1f1,0x1f1f7	লাইবেরিয়া,
0x1f1f1,0x1f1f8	লেসোথো,
0x1f1f1,0x1f1f9	লিথুয়ানিয়া,
0x1f1f1,0x1f1fa	লুক্সেমবুর্গ,
0x1f1f1,0x1f1fb	লাতভিয়া,
0x1f1f1,0x1f1fe	লিবিয়া,
0x1f1f2,0x1f1e6	মরোক্কো,
0x1f1f2,0x1f1e8	মোনাকো,
0x1f1f2,0x1f1e9	মলদোভা,
0x1f1f2,0x1f1ea	মন্টিনিগ্রো,
0x1f1f2,0x1f1ec	মাদাগাস্কার,
0x1f1f2,0x1f1f0	ম্যাসেডোনিয়া,
0x1f1f2,0x1f1f1	মালি,
0x1f1f2,0x1f1f2	মায়ানমার,বর্মা,
0x1f1f2,0x1f1f3	মঙ্গোলিয়া,
0x1f1f2,0x1f1f6	মার্তিনিক,
0x1f1f2,0x1f1f7	মৌরিতানিয়া,
0x1f1f2,0x1f1f9	মাল্টা,
0x1f1f2,0x1f1fa	মরিশাস,
0x1f1f2,0x1f1fc	মালাউই,
0x1f1f2,0x1f1fd	মেক্সিকো,
0x1f1f2,0x1f1fe	মালয়েশিয়া,
0x1f1f2,0x1f1ff	মোজাম্বিক,
0x1f1f3,0x1f1e6	নামিবিয়া,
0x1f1f3,0x1f1ea	নাইজার,
0x1f1f3,0x1f1ec	নাইজেরিয়া,
0x1f1f3,0x1f1ee	নিকারাগুয়া,
0x1f1f3,0x1f1f1	নেদারল্যান্ডস,নেদারল্যান্ডস,
0x1f1f3,0x1f1f4	নরওয়ে,
0x1f1f3,0x1f1f5	নেপাল,
0x1f1f3,0x1f1f7	নাউরু,
0x1f1f4,0x1f1f2	ওমান,
0x1f1f5,0x1f1e6	পানামা,
0x1f1f5,0x1f1ea	পেরু,
0x1f1f5,0x1f1ed	ফিলিপাইন,
0x1f1f5,0x1f1f0	পাকিস্তান,
0x1f1f5,0x1f1f1	পোল্যান্ড,
0x1f1f5,0x1f1f8	ফিলিস্তিনি,
0x1f1f5,0x1f1f9	পর্তুগাল,
0x1f1f5,0x1f1fe	প্যারাগুয়ে,
0x1f1f6,0x1f1e6	কাতার,
0x1f1f7,0x1f1f4	রোমানিয়া,
0x1f1f7,0x1f1f8	সার্বিয়া,
0x1f1f7,0x1f1fc	রুয়ান্ডা,
0x1f1f8,0x1f1e6	সৌদি,
0x1f1f8,0x1f1e8	সেশেল,
0x1f1f8,0x1f1e9	সুদান,
0x1f1f8,0x1f1ea	সুইডেন,
0x1f1f8,0x1f1ec	সিঙ্গাপুর,
0x1f1f8,0x1f1ee	স্লোভেনিয়া,
0x1f1f8,0x1f1f0	স্লোভাকিয়া,
0x1f1f8,0x1f1f3	সেনেগাল,
0x1f1f8,0x1f1f4	সোমালিয়া,
0x1f1f8,0x1f1f7	সুরিনাম,সুরিনাম,
0x1f1f8,0x1f1fe	সিরিয়া,
0x1f1f8,0x1f1ff	সোয়াজিল্যান্ড,
0x1f1f9,0x1f1e9	চাদ,
0x1f1f9,0x1f1ec	যাও,
0x1f1f9,0x1f1ed	থাইল্যান্ড,সায়াম্,
0x1f1f9,0x1f1ef	তাজিকিস্তান,
0x1f1f9,0x1f1f2	তুর্কমেনিস্তান,
0x1f1f9,0x1f1f3	তিউনিসিয়া,
0x1f1f9,0x1f1f4	টোঙ্গা,
0x1f1f9,0x1f1fb	টুভালু,
0x1f1f9,0x1f1fc	তাইওয়ান,
0x1f1f9,0x1f1ff	তানজানিয়া,
0x1f1fa,0x1f1e6	ইউক্রেন,
0x1f1fa,0x1f1ec	উগান্ডা,
0x1f1fa,0x1f1f3	না,
0x1f1fa,0x1f1fe	উরুগুয়ে,
0x1f1fa,0x1f1ff	উজবেকিস্তান,
0x1f1fb,0x1f1ea	ভেনেজুয়েলা,
0x1f1fb,0x1f1f3	ভিয়েতনাম,
0x1f1fb,0x1f1fa	ভানুয়াটু,
0x1f1fc,0x1f1f8	সামোয়া,
0x1f1fd,0x1f1f0	কসোভো,
0x1f1fe,0x1f1ea	ইয়েমেন,
0x1f1ff,0x1f1f2	জাম্বিয়া,
0x1f1ff,0x1f1fc	জিম্বাবুয়ে,
