0x1f615	എന്ത്,
0x1f1e8,0x1f1e6	കാനഡ,
0x1f1e8,0x1f1e9	കോംഗോ,
0x1f1e8,0x1f1ec	റിപ്പബ്ലിക്ക് ഓഫ് കോംഗോ,കോംഗോ,
0x1f1e8,0x1f1ed	സ്വിറ്റ്സർലാന്റ്,
0x1f1e8,0x1f1f1	ചിലി,
0x1f1e8,0x1f1f2	കാമറൂണ്,
0x1f1e8,0x1f1f3	ചൈന,
0x1f1e8,0x1f1f4	കൊളംബിയ,
0x1f1e8,0x1f1fa	ക്യൂബ,
0x1f1e8,0x1f1fe	സൈപ്രസ്,
0x1f1e8,0x1f1ff	ചെക്ക്,
0x1f1e9,0x1f1ea	ജര്മ്മനി,
0x1f1e9,0x1f1ef	ജിബൂട്ടി,
0x1f1e9,0x1f1f0	ഡെന്മാര്ക്ക്,
0x1f1e9,0x1f1f2	ഡൊമനിക്ക,
0x1f1e9,0x1f1ff	അള്ജീറിയ,
0x1f1ea,0x1f1e8	ഇക്വഡോര്,
0x1f1ea,0x1f1ea	എസ്റ്റോണിയ,
0x1f1ea,0x1f1ec	ഈജിപ്റ്റ്,
0x1f1ea,0x1f1f7	എരിട്രിയ,
0x1f1ea,0x1f1f8	സ്പെയിന്,
0x1f1ea,0x1f1f9	എത്യോപ്യ,
0x1f1eb,0x1f1ee	ഫിന്ലാന്ഡ്,
0x1f1eb,0x1f1ef	ഫിജി,
0x1f1eb,0x1f1f7	ഫ്രാന്സ്,
0x1f1ec,0x1f1e6	ഗാബോണ്,
0x1f1ec,0x1f1e7	യുണൈറ്റഡ് കിങ്ഡം,
0x1f1ec,0x1f1e9	ഗ്രനേഡ,
0x1f1ec,0x1f1ea	ജോര്ജിയ,
0x1f1ec,0x1f1ed	ഘാന,
0x1f1ec,0x1f1f1	ഗ്രീന്ലാന്ഡ്,
0x1f1ec,0x1f1f2	ഗാംബിയ,
0x1f1ec,0x1f1f3	ഗിനി,
0x1f1ec,0x1f1f7	ഗ്രീസ്,
0x1f1ec,0x1f1f9	ഗ്വാട്ടിമാല,
0x1f1ec,0x1f1fc	ഗിനി-ബിസൗ,
0x1f1ec,0x1f1fe	ഗയാന,
0x1f1ed,0x1f1f3	ഹോണ്ടുറാസ്,
0x1f1ed,0x1f1f7	ക്രൊയേഷ്യ,
0x1f1ed,0x1f1f9	ഹെയ്റ്റി,
0x1f1ed,0x1f1fa	ഹംഗറി,
0x1f1ee,0x1f1e9	ഇന്തോനേഷ്യ,
0x1f1ee,0x1f1ea	അയര്ലണ്ട്,
0x1f1ee,0x1f1f1	ഇസ്രയേൽ,
0x1f1ee,0x1f1f3	ഇന്ത്യ,
0x1f1ee,0x1f1f6	ഇറാഖ്,
0x1f1ee,0x1f1f7	ഇറാന്,
0x1f1ee,0x1f1f8	ഐസ്ലാന്റ്,
0x1f1ee,0x1f1f9	ഇറ്റലി,
0x1f1ef,0x1f1f2	ജമൈക്ക,
0x1f1ef,0x1f1f4	ജോര്ദാന്,
0x1f1ef,0x1f1f5	ജപ്പാൻ,
0x1f1f0,0x1f1ea	കെനിയ,
0x1f1f0,0x1f1ec	കിര്ഗ്ഗിസ്ഥാന്,
0x1f1f0,0x1f1ed	കംബോഡിയ,
0x1f1f0,0x1f1ee	കിരീബാസ്,
0x1f1f0,0x1f1f2	കൊമോറസ്,
0x1f1f0,0x1f1f7	കൊറിയ,
0x1f1f0,0x1f1fc	കുവൈറ്റ്,
0x1f1f0,0x1f1ff	ഖസാഖ്സ്ഥാൻ,
0x1f1f1,0x1f1e6	ലാവോസ്,
0x1f1f1,0x1f1e7	ലെബനന്,
0x1f1f1,0x1f1ee	ലിക്റ്റന്സ്റ്റൈന്,
0x1f1f1,0x1f1f7	ലൈബീരിയ,
0x1f1f1,0x1f1f8	ലെസോത്തോ,
0x1f1f1,0x1f1f9	ലിത്വാനിയ,
0x1f1f1,0x1f1fa	ലക്സംബര്ഗ്ഗ്,
0x1f1f1,0x1f1fb	ലാത്വിയ,
0x1f1f1,0x1f1fe	ലിബിയ,
0x1f1f2,0x1f1e6	മൊറോക്കൊ,
0x1f1f2,0x1f1e8	മൊണാക്കോ,
0x1f1f2,0x1f1e9	മൊള്ഡോവ,
0x1f1f2,0x1f1ea	മോണ്ടെനെഗ്രൊ,
0x1f1f2,0x1f1ec	മഡഗാസ്കര്,
0x1f1f2,0x1f1f0	റിപ്പബ്ലിക് ഓഫ് മാസിഡോണിയ,
0x1f1f2,0x1f1f1	മാലി,
0x1f1f2,0x1f1f2	മ്യാന്മാര്,ബർമ,
0x1f1f2,0x1f1f3	മംഗോളിയ,
0x1f1f2,0x1f1f4	മകൗ,മകൗ,
0x1f1f2,0x1f1f7	മൗറിത്താനിയ,
0x1f1f2,0x1f1f9	മാള്ട്ട,
0x1f1f2,0x1f1fa	മൗറീഷ്യസ്,
0x1f1f2,0x1f1fc	മലാവി,
0x1f1f2,0x1f1fd	മെക്സിക്കോ,
0x1f1f2,0x1f1fe	മലേഷ്യ,
0x1f1f2,0x1f1ff	മൊസാംബിക്ക്,
0x1f1f3,0x1f1e6	നമീബിയ,
0x1f1f3,0x1f1ea	നീഷര്,
0x1f1f3,0x1f1ec	നൈജീരിയ,
0x1f1f3,0x1f1ee	നിക്കരാഗ്വ,
0x1f1f3,0x1f1f1	നെതര്ലന്റ്സ്,ഹോളണ്ട്,
0x1f1f3,0x1f1f4	നോർവെ,
0x1f1f3,0x1f1f5	നേപ്പാള്,
0x1f1f3,0x1f1f7	നൗറു,
0x1f1f4,0x1f1f2	ഒമാന്,
0x1f1f5,0x1f1e6	പനാമ,
0x1f1f5,0x1f1ea	പെറു,
0x1f1f5,0x1f1ed	ഫിലിപ്പീന്സ്,
0x1f1f5,0x1f1f0	പാകിസ്താന്,
0x1f1f5,0x1f1f1	പോളണ്ട്,
0x1f1f5,0x1f1f8	Palestin,
0x1f1f5,0x1f1f9	പോര്ച്ചുഗല്,
0x1f1f5,0x1f1fe	പരഗ്വെ,
0x1f1f6,0x1f1e6	ഖത്തര്,
0x1f1f7,0x1f1f4	റൊമാനിയ,
0x1f1f7,0x1f1f8	സെര്ബിയ,
0x1f1f7,0x1f1fa	റഷ്യ,
0x1f1f7,0x1f1fc	റുവാണ്ട,
0x1f1f8,0x1f1e8	സെയ്ഷെല്സ്,
0x1f1f8,0x1f1e9	സുഡാന്,
0x1f1f8,0x1f1ea	സ്വീഡന്,
0x1f1f8,0x1f1ec	സിംഗപ്പൂര്,
0x1f1f8,0x1f1ee	സ്ലൊവീന്യ,
0x1f1f8,0x1f1f0	സ്ലോവാക്യ,
0x1f1f8,0x1f1f3	സെനിഗള്,
0x1f1f8,0x1f1f4	സൊമാലിയ,
0x1f1f8,0x1f1f7	സുരിനാം,സുരിനാം,
0x1f1f8,0x1f1fe	സിറിയ,
0x1f1f8,0x1f1ff	സ്വാസിലാന്റ്,
0x1f1f9,0x1f1e9	ഛാഡ്,
0x1f1f9,0x1f1ec	ടോഗോ,
0x1f1f9,0x1f1ed	തായ്ലാന്റ്,
0x1f1f9,0x1f1ef	താജിക്കിസ്ഥാന്,
0x1f1f9,0x1f1f2	തുര്ക്ക്മെനിസ്ഥാന്,
0x1f1f9,0x1f1f3	ടുണീഷ്യ,
0x1f1f9,0x1f1fb	തുവാലു,
0x1f1f9,0x1f1fc	തായ്വാൻ,
0x1f1f9,0x1f1ff	ടാന്സാനിയ,
0x1f1fa,0x1f1e6	യുക്രെയിൻ,
0x1f1fa,0x1f1ec	ഉഗാണ്ട,
0x1f1fa,0x1f1f3	ഐക്യരാഷ്ട്രസഭ,
0x1f1fa,0x1f1fe	ഉറുഗ്വേ,
0x1f1fa,0x1f1ff	ഉസ്ബെക്കിസ്ഥാന്,
0x1f1fb,0x1f1ea	വെനിസ്വേല,
0x1f1fb,0x1f1f3	വിയറ്റ്നാം,
0x1f1fb,0x1f1fa	വന്വാട,
0x1f1fd,0x1f1f0	കൊസോവോ,
0x1f1fe,0x1f1ea	യെമന്,
0x1f1ff,0x1f1f2	സാംബിയ,
0x1f1ff,0x1f1fc	സിംബാബ്വെ,
