0x1f615	என்ன,
0x1f3d3	துடுப்பு,
0x1f94a	குத்துச்சண்டை,சாடு,
0x1f94b	யுடோ,கராத்தே,டைக்குவாண்டோ,
0x1f945	அயனம்,நிகர,
0x26f8	கருவை திருக்கை,
0x1f3bd	தடகள,கச்சு,
0x1f0cf	பல்லுரு,
0x1f507	ஒலிதடு,
0x1f509	நடு,
0x1f4ef	கொம்பு,
0x1f399	ஒலிவாங்கி,
0x1f39a	மட்டமாக்குதல்,நகர்வுகோல்,
0x1f39b	அடக்கம்,
0x1f941	பறை,
0x1f4f2	ஏற்றுக்கொள்ளுதல்,
0x1f4de	கொள்வோன்,
0x1f4e0	தொலைப்பிரதி,
0x1f50b	மின்கலம்,
0x1f50c	அடைப்பு,
0x1f4bb	தனிப்பட்ட,
0x1f5a5	திரைப்பலகம்,
0x1f39e	படம்,
0x1f4fd	ப்ரொஜெக்டர்,
0x1f4f8	அலங்கு-தல்,
0x1f4fc	கட்டு,
0x1f50d	சோதனை,
0x1f52c	அறிவியல்,
0x1f526	தீவட்டி,
0x1f4d4	மறைத்தல்,குறிப்பேடு,
0x1f4f0	செய்தி,
0x1f5de	நாளிதழ்,
0x1f4d1	மார்க்கர்,
0x1f3f7	சிட்டை,
0x1f4b4	யென்,
0x1f4b9	விளக்கப்படம்,கோட்டுரு,வளர்ச்சி,சந்தை,
0x1f4b1	பண்டமாற்று,
0x2709	மின் அஞ்சல்,
0x1f4e8	மின்னஞ்சல்,உறை,வருகை,
0x1f4e4	அவுட்பாக்ஸ்,தட்டல்,
0x1f4e6	கண்டம்,
0x1f4eb	அஞ்சல்பெட்டி,
0x270f	எழுதுகோல்,
0x2712	எழுதுகோல்,
0x1f58d	வண்ணத்தீட்டுக்கோல்,
0x1f4c1	அராவுதல்,அடைவு,
0x1f4c6	நாட்காட்டி,
0x1f5d2	அப்புதல்,
0x1f4cb	நகலகம்,
0x1f4cc	குண்டூசி,
0x1f587	இணை,
0x1f4cf	அரசன்,
0x1f4d0	அஸ்தமித்தல்,
0x1f5c4	அராவுதொழில்,
0x1f50f	மை,இரகசியம்,
0x1f5dd	துப்பு,
0x26cf	சுரங்கத் தொழில்,
0x2692	சுத்தி,கோது-தல்,
0x1f6e0	தக்கைமுறுக்கி,திருகு,
0x1f3f9	தனுசு,விற்காரன்,வில்வித்தை,
0x1f529	தாழ்ப்பாள்,
0x1f5dc	உள்ளிழுத்தல்,தீது,
0x2697	வேதியியல்,
0x26d3	சங்கிலி,
0x26b1	சாம்பல்,இறுதிச் சடங்கு,
0x1f6e2	எண்ணெய்,
0x1f6d2	வண்டி,
0x1f6b0	குடி,
0x1f6b9	குளியலறை,
0x1f6bc	உறழ்ச்சி,
0x1f6c2	பாஸ்போர்ட்,
0x1f6c3	சுங்க,
0x1f6c4	தட்டுமுட்டு,கூற்றை,
0x1f6c5	தட்டுமுட்டு,
0x26a0	முன்னறிவிப்பு,
0x1f6b8	குழந்தை,கடக்கும்,நடக்கிறவன்,
0x1f51e	பதினெட்டு,
0x2b06	வடக்கு,
0x2197	வடகிழக்கு,
0x2198	தென்கிழக்கில் உள்ள,
0x2b07	தெற்கு,
0x2199	தென்மேற்கு,
0x2196	வடமேற்கு,
0x1f519	முதுகு,
0x1f51a	இறுதி,
0x1f51b	மீது,
0x1f6d0	வழிபாடு,
0x269b	நாஸ்திகன்,அணு,
0x1f549	இந்து,
0x2721	டேவிட்,
0x2638	புத்த,தருமம்,
0x1f54e	விளக்குத்தண்டு,
0x2648	ரேம்,
0x2649	காளை,
0x264b	நண்டு,
0x264f	தேள்,
0x2651	ஆடு,
0x26ce	பாம்பு,
0x1f501	இரட்டித்துச்சொல்லு-தல்,
0x1f502	ஒருமுறை,
0x23ef	தரிப்பு,
0x25c0	மாற்று,
0x23fa	தஸ்தரம்,
0x23cf	ஒதுக்குதல்,
0x1f505	ஒளி,மங்கல்,இழிவான,
0x1f4f3	விதம்,அசைவு,
0x2695	கழி,
0x1f4db	பேட்ஜ்,பெயர்,
0x2797	கூறு,
0x27b0	லூப்,
0x303d	கூறு,
0x2733	நட்சத்திரக்குறி,
0x00a9	பதிப்புரிமை,
0x1f520	உள்ளீடு,இலத்தீனிய,எழுத்து,பேரெழுத்து,
0x1f524	அகரவரிசை,அகரவரிசை,
0x2139	நான்,
0x1f4a0	உள்ளிடம்,
0x1f518	வானொலி,
0x1f1e6,0x1f1e9	அந்தோரா,
0x1f1e6,0x1f1eb	ஆப்கானிஸ்தான்,
0x1f1e6,0x1f1ee	அங்கியுலா,
0x1f1e6,0x1f1f1	அல்பேனியா,
0x1f1e6,0x1f1f2	ஆர்மீனியா,
0x1f1e6,0x1f1f4	அங்கோலா,
0x1f1e6,0x1f1f6	அண்டார்டிக்கா,
0x1f1e6,0x1f1f7	அர்ஜென்டினா,
0x1f1e6,0x1f1f9	ஆஸ்திரியா,
0x1f1e6,0x1f1fc	அருபா,
0x1f1e6,0x1f1ff	அஸர்பைஜான்,
0x1f1e7,0x1f1e6	பொசுனியா,
0x1f1e7,0x1f1e7	பார்படோசு,
0x1f1e7,0x1f1e9	வங்காளம்,
0x1f1e7,0x1f1ea	பெல்ஜியம்,
0x1f1e7,0x1f1ec	பல்கேரியா,
0x1f1e7,0x1f1ed	பஹ்ரேய்ன்,
0x1f1e7,0x1f1ee	புருண்டி,
0x1f1e7,0x1f1ef	பெனின்,
0x1f1e7,0x1f1f2	பெர்மியுடா,
0x1f1e7,0x1f1f3	புரூணை,
0x1f1e7,0x1f1f4	பொலிவியா,
0x1f1e7,0x1f1f7	பிரேசில்,
0x1f1e7,0x1f1f8	பகாமாசு,
0x1f1e7,0x1f1f9	பூட்டான்,
0x1f1e7,0x1f1fc	போட்ஸ்வானா,
0x1f1e7,0x1f1fe	பெலாரஸ்,
0x1f1e7,0x1f1ff	பெலீசு,
0x1f1e8,0x1f1e6	கனடா,
0x1f1e8,0x1f1e9	கொங்கோ,
0x1f1e8,0x1f1ec	கொங்கோ குடியரசு,கொங்கோ,
0x1f1e8,0x1f1ed	சுவிட்சர்லாந்து,
0x1f1e8,0x1f1f1	சிலி,
0x1f1e8,0x1f1f2	கமரூன்,
0x1f1e8,0x1f1f3	சீன மக்கள் குடியரசு,
0x1f1e8,0x1f1f4	கொலம்பியா,
0x1f1e8,0x1f1fa	கியூபா,
0x1f1e8,0x1f1fe	சைப்பிரஸ்,
0x1f1e8,0x1f1ff	செக்,
0x1f1e9,0x1f1ea	ஜெர்மனி,
0x1f1e9,0x1f1ef	ஜிபூட்டி,
0x1f1e9,0x1f1f0	டென்மார்க்,
0x1f1e9,0x1f1f2	டொமினிக்கா,
0x1f1e9,0x1f1ff	அல்சீரியா,
0x1f1ea,0x1f1e6	சீடா,மெலில்லா,
0x1f1ea,0x1f1e8	ஈக்குடோர்,
0x1f1ea,0x1f1ea	எசுத்தோனியா,
0x1f1ea,0x1f1ec	எகிப்து,
0x1f1ea,0x1f1f7	எரித்திரியா,
0x1f1ea,0x1f1f9	எதியோப்பியா,
0x1f1eb,0x1f1ee	பின்லாந்து,
0x1f1eb,0x1f1ef	பிஜி,
0x1f1eb,0x1f1f2	மைக்குரேனேசிய கூட்டாட்சி நாடுகள்,
0x1f1eb,0x1f1f7	பிரான்ஸ்,
0x1f1ec,0x1f1e6	காபோன்,
0x1f1ec,0x1f1e7	ஐக்கிய இராச்சியம்,
0x1f1ec,0x1f1e9	கிரெனடா,
0x1f1ec,0x1f1ea	ஜோர்ஜியா,
0x1f1ec,0x1f1ec	குயெர்ன்சி,
0x1f1ec,0x1f1ed	கானா,
0x1f1ec,0x1f1ee	கிப்ரல்டார்,
0x1f1ec,0x1f1f1	கிறீன்லாந்து,
0x1f1ec,0x1f1f2	காம்பியா,
0x1f1ec,0x1f1f3	கினி,
0x1f1ec,0x1f1f5	குவாதலூப்பே,
0x1f1ec,0x1f1f7	கிரேக்க நாடு,
0x1f1ec,0x1f1f9	குவாத்தமாலா,
0x1f1ec,0x1f1fa	குவாம்,
0x1f1ec,0x1f1fc	கினி-பிசாவு,
0x1f1ec,0x1f1fe	கயானா,
0x1f1ed,0x1f1f3	ஹொண்டுராஸ்,
0x1f1ed,0x1f1f7	குரோசியா,
0x1f1ed,0x1f1f9	எயிட்டி,
0x1f1ed,0x1f1fa	அங்கேரி,
0x1f1ee,0x1f1e9	இந்தோனேசியா,
0x1f1ee,0x1f1ea	அயர்லாந்து,
0x1f1ee,0x1f1f1	இசுரேல்,
0x1f1ee,0x1f1f2	மான்,
0x1f1ee,0x1f1f3	இந்தியா,
0x1f1ee,0x1f1f6	ஈராக்,
0x1f1ee,0x1f1f7	ஈரான்,பார்சி,
0x1f1ee,0x1f1f8	ஐஸ்லாந்து,
0x1f1ef,0x1f1ea	ஜெர்சி துணி,
0x1f1ef,0x1f1f2	யமேக்கா,
0x1f1ef,0x1f1f4	ஜோர்டான்,
0x1f1ef,0x1f1f5	ஜப்பான்,
0x1f1f0,0x1f1ea	கென்யா,
0x1f1f0,0x1f1ed	கம்போடியா,
0x1f1f0,0x1f1ee	கிரிபட்டி,
0x1f1f0,0x1f1f2	கொமொரோசு,
0x1f1f0,0x1f1fc	குவெய்த்,
0x1f1f0,0x1f1ff	கஜாக்ஸ்தான்,
0x1f1f1,0x1f1e6	லாவோஸ்,
0x1f1f1,0x1f1e7	லெபனான்,
0x1f1f1,0x1f1ee	லீக்டன்ஸ்டைன்,
0x1f1f1,0x1f1f7	லைபீரியா,
0x1f1f1,0x1f1f8	லெசோத்தோ,
0x1f1f1,0x1f1f9	லித்துவேனியா,
0x1f1f1,0x1f1fa	லக்சம்பர்க்,
0x1f1f1,0x1f1fb	லாத்வியா,
0x1f1f1,0x1f1fe	லிபியா,
0x1f1f2,0x1f1e6	மொரோக்கோ,
0x1f1f2,0x1f1e8	மொனாக்கோ,
0x1f1f2,0x1f1e9	மல்டோவா,
0x1f1f2,0x1f1ea	மொண்டெனேகுரோ,
0x1f1f2,0x1f1ec	மடகாஸ்கர்,
0x1f1f2,0x1f1f0	மாக்கடோனியக் குடியரசு,
0x1f1f2,0x1f1f1	மாலி,
0x1f1f2,0x1f1f2	மியான்மார்,மியான்மார்,
0x1f1f2,0x1f1f3	மங்கோலியா,
0x1f1f2,0x1f1f4	மக்காவு,மக்காவு,
0x1f1f2,0x1f1f6	மார்டீனிக்,
0x1f1f2,0x1f1f7	மவுரித்தேனியா,
0x1f1f2,0x1f1f8	மொன்செராட்,
0x1f1f2,0x1f1f9	மால்ட்டா,
0x1f1f2,0x1f1fa	மொரிசியசு,
0x1f1f2,0x1f1fc	மலாவி,
0x1f1f2,0x1f1fd	மெக்சிகோ,
0x1f1f2,0x1f1fe	மலேசியா,
0x1f1f2,0x1f1ff	மொசாம்பிக்,
0x1f1f3,0x1f1e6	நமீபியா,
0x1f1f3,0x1f1ea	நைஜர்,
0x1f1f3,0x1f1ec	நைஜீரியா,
0x1f1f3,0x1f1ee	நிக்கராகுவா,
0x1f1f3,0x1f1f1	நெதர்லாந்து,நெதர்லாந்து,
0x1f1f3,0x1f1f4	நோர்வே,
0x1f1f3,0x1f1f5	நேபாளம்,
0x1f1f3,0x1f1f7	நவூரு,
0x1f1f3,0x1f1fa	நியுவே,
0x1f1f4,0x1f1f2	ஓமன்,
0x1f1f5,0x1f1e6	பனாமா,
0x1f1f5,0x1f1ea	பெரு,
0x1f1f5,0x1f1ed	பிலிப்பைன்ஸ்,
0x1f1f5,0x1f1f0	பாகிஸ்தான்,
0x1f1f5,0x1f1f1	போலந்து,
0x1f1f5,0x1f1f9	போர்த்துகல்,
0x1f1f5,0x1f1fc	பலாவு,
0x1f1f5,0x1f1fe	பராகுவே,
0x1f1f6,0x1f1e6	கட்டார்,
0x1f1f7,0x1f1ea	ரீயூனியன்,
0x1f1f7,0x1f1f4	ருமேனியா,
0x1f1f7,0x1f1f8	செர்பியா,
0x1f1f7,0x1f1fc	ருவாண்டா,
0x1f1f8,0x1f1e8	சேஷெல்ஸ்,
0x1f1f8,0x1f1e9	சூடான்,
0x1f1f8,0x1f1ea	சுவீடன்,
0x1f1f8,0x1f1ec	சிங்கப்பூர்,
0x1f1f8,0x1f1ee	சுலோவீனியா,
0x1f1f8,0x1f1f0	ஸ்லோவேக்கியா,
0x1f1f8,0x1f1f3	செனகல்,
0x1f1f8,0x1f1f4	சோமாலியா,
0x1f1f8,0x1f1f7	சுரிநாம்,சுரிநாம்,
0x1f1f8,0x1f1fe	சிரியா,
0x1f1f8,0x1f1ff	சுவாசிலாந்து,
0x1f1f9,0x1f1e9	சாட்,
0x1f1f9,0x1f1ec	டோகோ,
0x1f1f9,0x1f1ed	தாய்லாந்து,ஒருதேசம்,
0x1f1f9,0x1f1ef	தஜிகிஸ்தான்,
0x1f1f9,0x1f1f2	துருக்மெனிஸ்தான்,
0x1f1f9,0x1f1f3	துனீசியா,
0x1f1f9,0x1f1f4	தொங்கா,
0x1f1f9,0x1f1fb	துவாலு,
0x1f1f9,0x1f1fc	தைவான்,
0x1f1f9,0x1f1ff	தான்சானியா,
0x1f1fa,0x1f1e6	உக்ரைன்,
0x1f1fa,0x1f1ec	உகாண்டா,
0x1f1fa,0x1f1f3	ஐ.நா.,
0x1f1fa,0x1f1fe	உருகுவே,
0x1f1fa,0x1f1ff	உஸ்பெகிஸ்தான்,
0x1f1fb,0x1f1ea	வெனீசூலா,
0x1f1fb,0x1f1f3	வியட்நாம்,
0x1f1fb,0x1f1fa	வனுவாட்டு,
0x1f1fc,0x1f1f8	சமோவா,
0x1f1fd,0x1f1f0	கொசோவோ,
0x1f1fe,0x1f1ea	யெமன்,
0x1f1fe,0x1f1f9	மயோட்டே,
0x1f1ff,0x1f1f2	சாம்பியா,
0x1f1ff,0x1f1fc	சிம்பாப்வே,
