0x1f615	پریشان,كيا,
0x1f1ee,0x1f1f8	آئس لینڈ,
0x1f1ee,0x1f1f9	اٹلی,
0x1f1ef,0x1f1ea	جرزی,
0x1f1ef,0x1f1f2	جمیکا,
0x1f1ef,0x1f1f4	اردان,
0x1f1ef,0x1f1f5	جاپان,
0x1f1f0,0x1f1ea	کینیا,
0x1f1f0,0x1f1ec	کرغستان,
0x1f1f0,0x1f1ed	کمبوڈیا,
0x1f1f0,0x1f1ee	کیریباتی,
0x1f1f0,0x1f1fc	کویت,
0x1f1f0,0x1f1ff	قزاقستان,
0x1f1f1,0x1f1e6	لاؤس,
0x1f1f1,0x1f1e7	لبنان,
0x1f1f1,0x1f1ee	لیختینستائن,
0x1f1f1,0x1f1f7	لائبیریا,
0x1f1f1,0x1f1f8	لیسوتھو,
0x1f1f1,0x1f1f9	لیتھوینیا,
0x1f1f1,0x1f1fa	لکسمبرگ,
0x1f1f1,0x1f1fb	لٹویا,
0x1f1f1,0x1f1fe	لیبیا,
0x1f1f2,0x1f1e6	مراکش,
0x1f1f2,0x1f1e8	مناکو,
0x1f1f2,0x1f1e9	مالڈووا,
0x1f1f2,0x1f1ea	مونٹینیگرو,
0x1f1f2,0x1f1ec	مڈغاسکر,
0x1f1f2,0x1f1f0	مقدونیہ,
0x1f1f2,0x1f1f1	مالی,
0x1f1f2,0x1f1f2	میانمار,برما,
0x1f1f2,0x1f1f3	منگولیا,
0x1f1f2,0x1f1f4	مکاؤ,
0x1f1f2,0x1f1f6	مارٹینیک,
0x1f1f2,0x1f1f7	موریتانیہ,
0x1f1f2,0x1f1f9	مالٹا,
0x1f1f2,0x1f1fa	ماریشس,
0x1f1f2,0x1f1fc	ملاوی,
0x1f1f2,0x1f1fd	میکسیکو,
0x1f1f2,0x1f1fe	ملائشیا,
0x1f1f2,0x1f1ff	موزمبیق,
0x1f1f3,0x1f1e6	نمیبیا,
0x1f1f3,0x1f1ea	نائجر,
0x1f1f3,0x1f1ec	نائجیریا,
0x1f1f3,0x1f1ee	نکاراگوا,
0x1f1f3,0x1f1f1	نیدرلینڈز,نیدرلینڈ,
0x1f1f3,0x1f1f4	ناروے,
0x1f1f3,0x1f1f5	نیپال,
0x1f1f3,0x1f1f7	ناورو,
0x1f1f4,0x1f1f2	عمان,
0x1f1f5,0x1f1e6	پاناما,
0x1f1f5,0x1f1ea	پیرو,
0x1f1f5,0x1f1ed	فلپائن,
0x1f1f5,0x1f1f0	پاکستان,
0x1f1f5,0x1f1f1	پولینڈ,
0x1f1f5,0x1f1f9	پرتگال,
0x1f1f5,0x1f1fe	پیراگوئے,
0x1f1f6,0x1f1e6	قطر,
0x1f1f7,0x1f1ea	غے یونیوں,
0x1f1f7,0x1f1f4	رومانیہ,
0x1f1f7,0x1f1f8	سربیا,
0x1f1f7,0x1f1fa	روس,
0x1f1f7,0x1f1fc	روانڈا,
0x1f1f8,0x1f1e8	سیچیلیس,
0x1f1f8,0x1f1e9	سوڈان,
0x1f1f8,0x1f1ea	سویڈن,
0x1f1f8,0x1f1ec	سنگاپور,
0x1f1f8,0x1f1ee	سلووینیا,
0x1f1f8,0x1f1f0	سلوواکیہ,
0x1f1f8,0x1f1f3	سینی گال,
0x1f1f8,0x1f1f4	صومالیہ,
0x1f1f8,0x1f1f7	سرینام,سرینام,
0x1f1f8,0x1f1fe	سیریا,
0x1f1f8,0x1f1ff	سوازی لینڈ,
0x1f1f9,0x1f1e9	چاڈ,
0x1f1f9,0x1f1ec	ٹوگو,
0x1f1f9,0x1f1ed	تھائی لینڈ,سیام,
0x1f1f9,0x1f1ef	تاجکستان,
0x1f1f9,0x1f1f0	ٹوکیلاؤ,
0x1f1f9,0x1f1f1	مشرقی تیمور,
0x1f1f9,0x1f1f2	ترکمانستان,
0x1f1f9,0x1f1f3	تونس,
0x1f1f9,0x1f1fb	تووالو,
0x1f1f9,0x1f1fc	تائیوان,
0x1f1f9,0x1f1ff	تنزانیہ,
0x1f1fa,0x1f1e6	یوکرین,
0x1f1fa,0x1f1ec	یوگنڈا,
0x1f1fa,0x1f1f3	اقوام متحدہ,
0x1f1fa,0x1f1fe	یوراگوئے,
0x1f1fa,0x1f1ff	ازبکستان,
0x1f1fb,0x1f1ea	وینزویلا,
0x1f1fb,0x1f1f3	ویتنام,
0x1f1fb,0x1f1fa	وانوات,
0x1f1fc,0x1f1f8	سامووا,
0x1f1fd,0x1f1f0	کوسوو,
0x1f1fe,0x1f1ea	یمن,
0x1f1fe,0x1f1f9	مایوٹ,
0x1f1ff,0x1f1f2	زامبیا,
0x1f1ff,0x1f1fc	زمبابوے,
